timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764563059507,7,1. Get Flights,200,OK,100 Concurrent Users 1-20,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563059514,7,2. Get Hotels,200,OK,100 Concurrent Users 1-20,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563059521,19,3. Get Cars,200,OK,100 Concurrent Users 1-20,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,19,0,1
1764563059607,7,1. Get Flights,200,OK,100 Concurrent Users 1-21,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563059614,7,2. Get Hotels,200,OK,100 Concurrent Users 1-21,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563059621,17,3. Get Cars,200,OK,100 Concurrent Users 1-21,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,17,0,1
1764563059707,7,1. Get Flights,200,OK,100 Concurrent Users 1-22,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563059715,6,2. Get Hotels,200,OK,100 Concurrent Users 1-22,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,6,0,1
1764563059722,15,3. Get Cars,200,OK,100 Concurrent Users 1-22,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,15,0,0
1764563059807,8,1. Get Flights,200,OK,100 Concurrent Users 1-23,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563059815,7,2. Get Hotels,200,OK,100 Concurrent Users 1-23,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563059822,17,3. Get Cars,200,OK,100 Concurrent Users 1-23,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,17,0,1
1764563059907,7,1. Get Flights,200,OK,100 Concurrent Users 1-24,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,0
1764563059915,8,2. Get Hotels,200,OK,100 Concurrent Users 1-24,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563059923,18,3. Get Cars,200,OK,100 Concurrent Users 1-24,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,18,0,1
1764563060007,9,1. Get Flights,200,OK,100 Concurrent Users 1-25,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,9,0,2
1764563060017,7,2. Get Hotels,200,OK,100 Concurrent Users 1-25,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,0
1764563060024,17,3. Get Cars,200,OK,100 Concurrent Users 1-25,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,17,0,1
1764563060107,8,1. Get Flights,200,OK,100 Concurrent Users 1-26,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563060115,6,2. Get Hotels,200,OK,100 Concurrent Users 1-26,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,6,0,1
1764563060122,17,3. Get Cars,200,OK,100 Concurrent Users 1-26,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,16,0,1
1764563060208,7,1. Get Flights,200,OK,100 Concurrent Users 1-27,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,0
1764563060216,7,2. Get Hotels,200,OK,100 Concurrent Users 1-27,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563060224,17,3. Get Cars,200,OK,100 Concurrent Users 1-27,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,17,0,0
1764563060307,8,1. Get Flights,200,OK,100 Concurrent Users 1-28,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563060315,8,2. Get Hotels,200,OK,100 Concurrent Users 1-28,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,8,0,1
1764563060323,19,3. Get Cars,200,OK,100 Concurrent Users 1-28,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,18,0,1
1764563060409,6,1. Get Flights,200,OK,100 Concurrent Users 1-29,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,6,0,0
