timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764561350388,33,2. Get Hotels,200,OK,100 Concurrent Users 1-17,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,33,0,1
1764561350422,24,3. Get Cars,200,OK,100 Concurrent Users 1-17,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,23,0,1
1764561350456,36,1. Get Flights,200,OK,100 Concurrent Users 1-18,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,36,0,2
1764561350493,32,2. Get Hotels,200,OK,100 Concurrent Users 1-18,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,32,0,1
1764561350526,24,3. Get Cars,200,OK,100 Concurrent Users 1-18,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,24,0,1
1764561350554,32,1. Get Flights,200,OK,100 Concurrent Users 1-19,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,32,0,1
1764561350587,29,2. Get Hotels,200,OK,100 Concurrent Users 1-19,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,29,0,1
1764561350616,21,3. Get Cars,200,OK,100 Concurrent Users 1-19,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,20,0,1
1764561350656,28,1. Get Flights,200,OK,100 Concurrent Users 1-20,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,27,0,1
1764561350684,33,2. Get Hotels,200,OK,100 Concurrent Users 1-20,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,33,0,1
1764561350717,24,3. Get Cars,200,OK,100 Concurrent Users 1-20,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,24,0,1
1764561350755,42,1. Get Flights,200,OK,100 Concurrent Users 1-21,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,41,0,2
1764561350797,38,2. Get Hotels,200,OK,100 Concurrent Users 1-21,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,38,0,2
1764561350836,26,3. Get Cars,200,OK,100 Concurrent Users 1-21,text,true,,82328,195,2,2,http://localhost:5000/api/cars?limit=100,25,0,1
1764561350854,38,1. Get Flights,200,OK,100 Concurrent Users 1-22,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,38,0,2
1764561350893,33,2. Get Hotels,200,OK,100 Concurrent Users 1-22,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,33,0,2
1764561350926,23,3. Get Cars,200,OK,100 Concurrent Users 1-22,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,23,0,2
1764561350954,33,1. Get Flights,200,OK,100 Concurrent Users 1-23,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,32,0,1
1764561350987,31,2. Get Hotels,200,OK,100 Concurrent Users 1-23,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,31,0,1
